listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days
225381,Cozy 2BR beachfront  apt in JBR,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/fb8ccb1e-e173-4e48-87e0-a6b8af405604.jpg,35,1174239,Slava,"","",false,25.0772,55.1343,5,2,3,2.5,false,"TV,Washer,Cable TV,Beach access,Smoke alarm,Wifi,Carbon monoxide alarm,Air conditioning,Pool,Kitchen,Essentials,Free parking on premises,Shampoo,Hangers,Hair dryer,Iron,Elevator,Refrigerator",false,5,Strict,AED,100,0,21,4.6,4.7,4.8,4.4,4.9,4.8,4.7,2188.0,8037.0,198.7,729.8,0.0,0.1,6.0,22.0,16.7,61.4,11,234,354,365,398.0,1462.0,198.0,727.3,0.0,0.1,4.4,16.2,10.8,39.5,2,53,88,90
283079,Exclusive 2BR Apartment on Dubai Marina Walk,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-283079/original/3c634798-7413-4064-9368-3650db5cae6c.jpeg,50,856279,Alex,"","",false,25.0812,55.1444,6,2,4,2.0,true,"TV,Cable TV,Children’s books and toys,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Pets allowed,Hot water,Gym,Elevator,Free street parking,Hot tub,Microwave,Refrigerator,Dishwasher,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,Patio or balcony,Luggage dropoff allowed,Essentials,Long term stays allowed,Hangers,Hair dryer,Iron",,5,Moderate,AED,30,,33,4.45,4.6,4.6,4.3,4.6,4.8,4.5,9815.0,36059.0,146.0,536.2,0.2,0.2,26.9,98.8,33.3,122.2,67,70,298,365,0.0,0.0,148.6,546.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
537711,"Dubai, Down Town Al Manzil Old Town",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/ccf08b81-05d5-42bd-8326-e33aa301607a.jpg,38,271820,Livinio,"","",false,25.1910,55.2781,2,,1,1.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Hot water,Elevator,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Coffee maker,Refrigerator,Drying rack for clothing,Dishwasher,Dishes and silverware,Cooking basics,Oven,Clothing storage,Stove,Wine glasses,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,Patio or balcony,Fire extinguisher,Essentials,Long term stays allowed,Hangers,Hair dryer,Iron,Toaster",,4,Strict,AED,98,,11,5.0,4.9,5.0,4.7,5.0,5.0,4.9,2227.0,8180.0,147.5,541.8,0.0,0.0,6.1,22.4,0.0,0.0,15,0,350,365,0.0,0.0,137.3,504.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
766072,Stunning beach side property,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NzY2MDcy/original/81b1ea28-5dc9-4c48-8afc-c9dbb255cd74.jpeg,72,4039661,Sal,"","",true,25.0777,55.1340,9,4,7,3.5,false,"TV,Cable TV,Waterfront,Air conditioning,Pool,Kitchen,Free parking on premises,Hot water kettle,Smoking allowed,Gym,Resort access,Elevator,Drying rack for clothing,Clothing storage,Wine glasses,Washer,Smoke alarm,Carbon monoxide alarm,Bidet,Essentials,Lock on bedroom door,Hangers,Hair dryer,Iron,Freezer,Bathtub,High chair,Room-darkening shades,Hot water,Bed linens,Ethernet connection,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,Patio or balcony,Luggage dropoff allowed,Long term stays allowed,Dining table,Toaster",false,3,Moderate,AED,55,0,230,4.9,4.9,4.9,4.8,5.0,5.0,4.8,69173.0,254074.0,322.5,1184.4,0.6,0.0,189.5,696.1,0.0,0.0,201,0,164,365,3244.0,11916.0,320.9,1178.6,0.1,0.0,36.0,132.4,0.0,0.0,10,0,80,90
936905,Big 2BR with stunning beach views,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/13826249/324fce5c_original.jpg,12,4774532,Olga,"","",false,25.0766,55.1344,5,2,3,2.0,false,"TV,Wifi,Waterfront,Air conditioning,Pool,Kitchen,Free parking on premises,Hot water kettle,Paid parking off premises,Gym,Conditioner,Elevator,Trash compactor,Laundromat nearby,Hot tub,Drying rack for clothing,Heating,Paid parking on premises,Clothing storage,Wine glasses,Washer,Dryer,Beach access,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Bidet,Essentials,Shampoo,Hangers,Hair dryer,Iron,Private entrance,Bathtub,High chair,Window guards,Crib,Room-darkening shades,Hot water,Body soap,Bed linens,Ethernet connection,Microwave,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Shower gel,Patio or balcony,Long term stays allowed,Safe,Dining table,Toaster",,1,Strict,AED,,,76,4.43,4.5,4.3,4.3,4.4,4.9,4.3,2795.0,10266.0,250.1,918.6,0.0,0.0,7.7,28.1,0.0,0.0,11,0,354,365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
1085798,Dubai JBR modern apart. front beach and sea view,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTA4NTc5OA%3D%3D/original/c1531ba6-12b2-40cc-84c1-ff55accabd4d.jpeg,57,5967931,Alessandro,"","",false,25.0777,55.1340,7,2,3,1.5,false,"TV,Cable TV,Wifi,Waterfront,Air conditioning,Pool,Crib,Kitchen,Free parking on premises,Paid parking off premises,Pets allowed,Hot water,Gym,Elevator,Bed linens,Free street parking,Outdoor furniture,Hot tub,Microwave,Refrigerator,Dishes and silverware,Heating,Cooking basics,Oven,Paid parking on premises,Stove,Washer,Dryer,Single level home,Beach access,Smoke alarm,BBQ grill,Carbon monoxide alarm,Patio or balcony,Backyard,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace",false,1,Firm,AED,81,0,12,4.67,4.8,5.0,4.7,5.0,4.9,4.7,7209.0,26478.0,351.5,1290.9,0.0,0.0,19.8,72.5,0.0,0.0,12,0,353,365,0.0,0.0,315.5,1158.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
1149942,Dubai Marina Penthouse 90th Floor,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-1149942/original/9c49f887-498a-48bb-b2ec-2152cde0de2a.jpeg,31,6303315,Samer Ricardo,"","",true,25.0883,55.1447,13,2,4,2.0,false,"TV,Cable TV,Wifi,Waterfront,Air conditioning,Pool,Kitchen,Paid parking off premises,Gym,Elevator,Hot tub,Washer,Dryer,Beach access,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Bathtub,High chair,Children’s books and toys,Fireplace guards,Crib,Pack ’n play/Travel crib,Hot water,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,Patio or balcony,Luggage dropoff allowed,Long term stays allowed",,2,Strict,AED,55,,287,4.9,4.9,4.9,4.8,4.9,5.0,4.8,30111.0,110598.0,494.1,1814.8,0.2,0.0,82.5,303.0,0.0,0.0,63,0,302,365,0.0,0.0,557.2,2046.4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
1290519,Sea inside (JBR 1BR Apt. Sea view),Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/88120fbf-e293-4053-b192-7981ab0361dd.jpg,58,7017607,Alex&Natalia,"","",false,25.0772,55.1350,4,1,2,1.5,false,"TV,Cable TV,Children’s books and toys,Wifi,Waterfront,Air conditioning,Pool,Kitchen,Free parking on premises,Room-darkening shades,Hot water kettle,Children’s dinnerware,Hot water,Gym,Elevator,Bed linens,Microwave,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,Washer,EV charger,Beach access,Smoke alarm,Carbon monoxide alarm,Patio or balcony,Beach essentials,Essentials,Long term stays allowed,Hangers,Hair dryer,Iron,Toaster,Bathtub",true,3,Strict,AED,60,0,89,4.77,4.8,4.9,4.7,4.8,4.9,4.7,28831.0,105904.0,148.6,545.9,0.5,0.0,79.0,290.1,0.0,0.0,191,0,174,365,3434.0,12615.0,150.1,551.3,0.3,0.0,38.2,140.2,0.0,0.0,23,0,67,90
1479856,Jbr apartment front sea - sea viw,Entire condo,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTQ3OTg1Ng%3D%3D/original/080c486a-8d75-4692-a326-f2a35885cbd2.jpeg,56,5967931,Alessandro,"","",false,25.0756,55.1329,7,2,16,1.5,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Crib,Kitchen,Free parking on premises,Paid parking off premises,Pets allowed,Hot water,Gym,Elevator,Hot tub,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Heating,Cooking basics,Oven,Paid parking on premises,Stove,Washer,Beach access,Smoke alarm,Carbon monoxide alarm,Patio or balcony,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace",false,4,Firm,AED,81,0,27,4.74,4.6,4.9,4.8,4.8,4.8,4.7,7006.0,25735.0,329.7,1211.1,0.1,0.0,19.2,70.5,0.0,0.0,20,0,345,365,0.0,0.0,297.9,1094.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
1481030,Jbr Rimal 3 apartment front beach  up 8 guest,Entire condo,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTQ4MTAzMA%3D%3D/original/cb957a93-c728-412c-83d5-5124a57b97d9.jpeg,34,5967931,Alessandro,"","",false,25.0753,55.1331,8,2,3,1.5,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Crib,Kitchen,Free parking on premises,Paid parking off premises,Pets allowed,Hot water,Gym,Resort access,Elevator,Free street parking,Hot tub,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics,Oven,Paid parking on premises,Washer,Dryer,Beach access,Smoke alarm,Patio or balcony,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace",false,1,Firm,AED,81,21,34,4.82,4.6,4.9,4.8,4.8,4.8,4.5,7166.0,26319.0,388.3,1426.1,0.0,0.0,19.6,72.1,0.0,0.0,13,0,352,365,0.0,0.0,302.8,1112.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
